nis,nisn,nama_lengkap,kelas,hp,alamat,ayah,ibu,wali,jenjang_sosial,saudara_kandung,orangtua_asuh,alamat_orangtua_asuh,hp_orangtua_asuh
93375,5066252,Clara Esterbrook,SD-6B,611-438-9981,915 Bartelt Circle,Tansy Keming,Colet Cloney,Ignaz Pigram,A,33485,Scarface Saffle,3 Commercial Way,531-927-9125
96913,1479762,Van Richard,SD-5B,118-215-2549,8601 Nancy Lane,Doria Hylands,Gerardo Whitney,Ricca Reeken,A,63711,Boyd Jeckell,45 Raven Way,400-685-1315
19543,4615351,Adolph Cordier,SD-5A,815-120-9589,1998 Dorton Road,Wilfrid Bethell,Addia Daelman,Jo-ann Glanville,D,70125,Rosemarie Biasotti,55 Pepper Wood Point,549-808-7653
47681,8709324,Reine Phil,SD-3A,535-490-0720,938 Mcguire Way,Mannie Butterick,Cynthia Reddlesden,Gale Dabney,C,28572,Meryl Clayson,84039 Moose Plaza,525-500-1097
61077,3543506,Anastasia Gouly,SD-6A,952-375-6929,0 Prairie Rose Road,Christy Lidgely,Joycelin Le land,Ardis Crates,D,96515,Winifred Nanni,96 Alpine Way,715-509-5891
93554,8880355,Patty Jann,SD-2B,824-364-8300,2 Sauthoff Terrace,Katalin Soppit,Clarence Gillivrie,Ferris Sedcole,D,48842,Dorey Issakov,852 Spaight Road,117-284-7090
86821,7365834,Roanna Semarke,SD-2A,706-395-5180,2289 Stuart Way,Kiel Linscott,Yvonne Cheyne,Linnet Birrel,B,28989,Lorilyn Brozsset,127 Oak Lane,749-635-5342
37763,3015098,Shep McCrackem,SD-3B,341-610-6682,99176 Merry Drive,Norma Eglington,Isabelita Cobley,Patrica O' Mullane,D,31735,Wanids Summerly,66607 Wayridge Court,685-999-5980
54881,8312497,Prisca Cumbridge,SD-4B,750-174-8040,98 Del Sol Parkway,Lillis Lardiner,Minetta Doyland,Hyacinthe Inkles,C,87557,Stepha Wyrill,38 Nancy Hill,368-726-8056
86801,2307082,Rodrique Denmead,SD-3A,144-479-7705,39 Cascade Pass,Prue Adriano,Xylina Knellen,Gloriana Skarman,C,71168,Saxe Rumens,9 Southridge Avenue,593-129-4157
32227,2163120,Clarabelle Bagwell,SD-3A,281-811-3767,723 Commercial Plaza,Jorge Gethen,Mathilde Waltho,Ali Deverick,B,39405,Jesus Colquete,24 Manley Park,858-476-9849
89366,9024302,Kelsi Thorington,SD-1bB,187-800-2242,312 Mcbride Way,Niko Barlee,Chadd Ridolfi,Lynn Burden,D,59790,Tallie Likely,19194 Bowman Pass,397-559-8607
53256,1979727,Shamus Helsdon,SD-3A,439-386-3166,013 Harbort Point,Hersh Lauritzen,Rycca Grassi,Bren Vannoort,B,59501,Ethel Burborough,8 Calypso Hill,412-172-6902
85164,4602195,Meade Hamor,SD-5A,290-935-7122,7673 Talmadge Center,Rosalynd Labrum,Natasha Eard,Simonne Handrok,D,47396,Harmonie Peet,640 Dennis Center,152-965-3219
98212,5405404,Trish Kofax,SD-3B,949-984-0471,588 Hansons Road,Mayer Grose,Tuesday Snedker,Winnie Rysom,C,84476,Lesley Peacock,5 Cardinal Court,499-466-4172
89507,9021506,Maude Petherick,SD-5B,836-167-7388,133 Lakewood Point,Fee Handforth,Charlot McCloy,Abba Schimon,D,54326,Arlina Beirne,483 Northview Terrace,677-267-3898
50383,2393584,Jemmy Glanders,SD-3A,336-602-8331,50 Kipling Lane,Bartholomeus Ballefant,Rhody Soan,Gallagher Normandale,B,74587,Sully Routh,167 Porter Center,422-867-3648
44637,8926682,Roberto Hebard,SD-6A,396-619-8065,275 Tony Park,Bevvy Spancock,Uriah Derrell,Caria Alcalde,A,89381,Benedick Bentall,5 Delladonna Circle,962-186-0420
34027,8923516,Catarina Ranscombe,SD-5A,742-801-1857,832 Ludington Park,Stormie Cavolini,Latia Yewdall,Guendolen Creed,D,74529,Rockie Seman,5 Bluestem Center,727-596-1491
15333,4031031,Doll Kepp,SD-1A,339-535-3478,14 Glendale Parkway,Gusti Robberecht,Lefty Blanch,Fin Rutledge,D,97511,Deedee Bechley,6 Acker Lane,383-271-2659
52424,9354623,Farlee Magson,SD-4B,376-774-0091,0051 Judy Avenue,Meredithe Attoc,Yance Ber,Nicolai Wardhough,C,93642,Slade Ghiroldi,312 Esker Plaza,584-948-0721
85396,4612281,Sibby O'Murtagh,SD-1bB,784-778-6267,205 Village Court,Hillard Farries,Binny Charlton,Matthaeus Kingaby,B,29563,Lilah Farahar,319 Utah Road,689-415-7499
20976,4131602,Caryl Burnham,SD-6A,306-554-8129,530 Esch Terrace,Tierney Trustram,Bobina Gillett,Valene Bellord,A,70523,Hubey Cotty,6196 Bayside Trail,847-207-6455
81640,1509271,Camila Brunotti,SD-2B,758-450-0613,8946 Mifflin Center,Gussy Mebius,Iggie Shorter,Berny La Torre,C,18654,Erna Risborough,82186 Cordelia Drive,240-300-1887
81953,2303988,Morgan Bedham,SD-3A,353-714-2061,2966 Pennsylvania Park,Emilee Baggalley,Julianne Elloway,Colman Fouracre,B,66380,Adelaida Bartalot,94529 Bay Street,241-745-3778
70093,3301446,Emili Coughtrey,SD-6B,349-686-6009,13 Hansons Road,Shandee Scoyles,Ruthann Sawkins,Griffie Relph,B,65234,Parrnell Sowman,31 Loeprich Lane,427-395-2999
17906,2425025,Petrina Matiebe,SD-4B,683-790-5612,240 Village Green Way,Irene Meakin,Golda Antram,Neill Hutt,B,25914,Ossie Cello,902 Bobwhite Terrace,771-151-5843
52569,3181094,Carver Petow,SD-6B,759-418-5087,4034 Raven Way,Lanie De Blase,Cheslie Meekings,Ema Frossell,C,32106,Maible Gornall,3 Sachs Lane,568-929-7632
57693,3070413,Caril Petts,SD-3A,633-862-0661,98847 Anhalt Court,Nellie Ledeker,Karita Arman,Netty Waterdrinker,C,67860,Karlis Medcraft,7930 Lillian Terrace,368-337-4418
11983,6453100,Jacques Alden,SD-6A,362-454-9326,26 Mosinee Point,Kelly Gorke,Berri Joseff,Edee Fermoy,B,69093,Carroll O'Nolan,26 Manufacturers Trail,811-516-0745
24573,3796917,Silvain Jinkinson,SD-6B,749-219-4460,31973 Kennedy Alley,Esme Bretherick,Currey Lain,Robinette Kneaphsey,D,85798,Ashley Follin,8 Warner Parkway,650-267-2978
71963,6173401,Sharon Warr,SD-4A,187-341-3737,74 Caliangt Pass,Antonie Stych,Odetta Meegan,Gawain Groven,D,97900,Myranda Dugald,3538 Logan Parkway,305-167-1599
91018,8790590,Noemi Kehri,SD-1bB,190-725-1381,6913 Florence Road,Prudi Jansky,Cheri Spoerl,Quinton Pandie,B,37879,Lonee Smethurst,44053 Hooker Street,608-460-6757
52690,9271745,Thadeus Haselwood,SD-2B,491-278-9917,3687 Milwaukee Circle,Kip Champagne,Wanda Rawstorne,Elton MacCrosson,D,48394,Claudius Peppett,80524 Pierstorff Park,973-159-4471
66702,7664649,Quintana Glenton,SD-2B,460-578-5122,487 3rd Parkway,Johnny Pichan,Bernardina Willcot,Abba Tanman,B,87463,Bondie Rentcome,7 Mandrake Point,273-124-2510
78250,6567583,Moses Wisam,SD-3A,685-192-8375,281 Dexter Pass,Zonnya Ellesworthe,Maggie Lideard,Amerigo Shakeshaft,A,16222,Ilyse Bartul,23425 Forest Dale Crossing,276-865-2477
24266,2491848,Dinnie Moakson,SD-3A,859-347-6496,6 Kenwood Way,Lorne Billett,Jeanine Duchart,Gillan Sackur,D,72210,Aile Ceresa,7955 Petterle Road,890-410-6012
76776,5176326,Andros Fawley,SD-5A,655-645-0356,5259 1st Trail,Patience Boulger,Jemmy Adams,Lelia Landor,B,22868,Spenser Ludovici,76488 Onsgard Alley,789-875-3357
49472,2636277,Wolfgang Cattini,SD-4A,230-301-4522,2412 Lakewood Gardens Pass,Zackariah Barnish,Lawrence Alban,Lyon Olding,D,33149,Izaak Jeskins,71 Prentice Center,179-249-3445
93331,1738950,Crosby Reason,SD-5A,943-413-8071,9 Milwaukee Terrace,Joete Cowderay,Read Raeburn,Francine Alenikov,B,35687,Muhammad Garford,0980 Spaight Plaza,287-782-7728
19178,3362687,Burg Semark,SD-5A,197-548-4558,53507 Scott Alley,Lotta Semiras,Velma Batterham,Shannon Lynskey,B,55955,Benton Gogin,2483 Milwaukee Court,865-484-4551
22009,1655749,Bridget McIlory,SD-3A,385-707-7130,2625 Morning Terrace,Faun Dyde,Hirsch Wilcot,Norah Cockill,D,83213,Nealon Glaves,45 Northridge Parkway,383-348-4104
19335,5306078,Raddy Bellin,SD-2A,186-407-9890,421 Clarendon Hill,Eleanor Sall,Nester Weth,Madeleine Fontaine,B,94677,Brant Elsmore,9 Burrows Plaza,927-713-4782
52375,7801496,Violet Paradis,SD-5A,567-711-0260,829 Algoma Drive,Ardene Halladay,Marcy Vitall,Sinclare Hanford,A,39781,Denny Cunniam,3 Atwood Terrace,282-772-3523
63121,1368925,Aleen Ronca,SD-3A,549-232-4709,096 Southridge Point,Jacobo Hessenthaler,Selene Keysall,Cesya Stubley,C,27406,Barr Teideman,60128 Stang Lane,245-183-7804
92518,9573750,Gabe Turfus,SD-5B,686-615-2148,20409 Roxbury Road,Arleta Feeham,Leda Caghy,Tanitansy Rhucroft,A,62207,Nerte Curmi,45197 Thackeray Center,838-998-5578
12788,2998043,Dorette Singleton,SD-4B,260-769-2041,364 Maywood Parkway,Emlen Tutton,Allyn Bucksey,Christie Franzewitch,D,78492,Ahmad Belverstone,849 Hudson Court,564-516-5375
59897,3124304,Holden MacIntyre,SD-3A,847-618-9156,4 Fieldstone Pass,Tani Kane,Max Batchelour,Rickert Tarbath,D,71450,Stevy Renzini,243 Homewood Crossing,887-154-2874
40092,7739324,Aileen Portt,SD-4B,320-146-6853,12322 John Wall Lane,Florance Di Roberto,Corabelle Toman,Eyde Seely,B,33001,Rheta Stammers,03157 Daystar Trail,838-187-5346
14485,9030522,Berky Dalloway,SD-2B,554-579-5755,85 Aberg Alley,Leanor Tredgold,Shep Risso,Giavani Kell,A,36356,Zandra Coffey,646 Debra Court,909-864-8655
43344,4298283,Aurelia Kyston,SD-2B,293-612-7562,969 Mcguire Trail,Hollie Pergens,Kaja Braid,Nolie Ridgedell,A,48784,Sampson Readshall,5 Lotheville Point,860-994-5391
